id,amount,jurisdiction,segment,as_of
1,8000,NY,A,2026-08-21
2,8001,CA,A,2026-08-21
3,8002,NY,B,2026-08-21
4,8003,CA,B,2026-08-21
5,8004,NY,C,2026-08-21
6,8005,CA,A,2026-08-21
7,8006,NY,A,2026-08-21
8,8007,CA,B,2026-08-21
9,8008,NY,B,2026-08-21
10,8009,CA,C,2026-08-21
11,8010,NY,A,2026-08-21
12,8011,CA,A,2026-08-21
13,8012,NY,B,2026-08-21
14,8013,CA,B,2026-08-21
15,8014,NY,C,2026-08-21
16,8015,CA,A,2026-08-21
17,8016,NY,A,2026-08-21
18,8017,CA,B,2026-08-21
19,8018,NY,B,2026-08-21
20,8019,CA,C,2026-08-21
21,8020,NY,A,2026-08-21
22,8021,CA,A,2026-08-21
23,8022,NY,B,2026-08-21
24,8023,CA,B,2026-08-21
25,8024,NY,C,2026-08-21
26,8025,CA,A,2026-08-21
27,8026,NY,A,2026-08-21
28,8027,CA,B,2026-08-21
29,8028,NY,B,2026-08-21
30,8029,CA,C,2026-08-21
31,8030,NY,A,2026-08-21
32,8031,CA,A,2026-08-21
33,8032,NY,B,2026-08-21
34,8033,CA,B,2026-08-21
35,8034,NY,C,2026-08-21
36,8035,CA,A,2026-08-21
37,8036,NY,A,2026-08-21
38,8037,CA,B,2026-08-21
39,8038,NY,B,2026-08-21
40,8039,CA,C,2026-08-21
41,8040,NY,A,2026-08-21
42,8041,CA,A,2026-08-21
43,8042,NY,B,2026-08-21
44,8043,CA,B,2026-08-21
45,8044,NY,C,2026-08-21
46,8045,CA,A,2026-08-21
47,8046,NY,A,2026-08-21
48,8047,CA,B,2026-08-21
49,8048,NY,B,2026-08-21
50,8049,CA,C,2026-08-21
51,8050,NY,A,2026-08-21
52,8051,CA,A,2026-08-21
53,8052,NY,B,2026-08-21
54,8053,CA,B,2026-08-21
55,8054,NY,C,2026-08-21
56,8055,CA,A,2026-08-21
57,8056,NY,A,2026-08-21
58,8057,CA,B,2026-08-21
59,8058,NY,B,2026-08-21
60,8059,CA,C,2026-08-21
61,8060,NY,A,2026-08-21
62,8061,CA,A,2026-08-21
63,8062,NY,B,2026-08-21
64,8063,CA,B,2026-08-21
65,8064,NY,C,2026-08-21
66,8065,CA,A,2026-08-21
67,8066,NY,A,2026-08-21
68,8067,CA,B,2026-08-21
69,8068,NY,B,2026-08-21
70,8069,CA,C,2026-08-21
71,8070,NY,A,2026-08-21
72,8071,CA,A,2026-08-21
